abbrev,real_abbrev,name,yahoo
ARI,CRD,Arizona,Ari
ATL,ATL,Atlanta,Atl
BAL,RAV,Baltimore,Bal
BUF,BUF,Buffalo,Buf
CAR,CAR,Carolina,Car
CHI,CHI,Chicago,Chi
CIN,CIN,Cincinnati,Cin
CLE,CLE,Cleveland,Cle
DAL,DAL,Dallas,Dal
DEN,DEN,Denver,Den
DET,DET,Detroit,Det
GNB,GNB,Green Bay,GB
HOU,HTX,Houston,Hou
IND,CLT,Indianapolis,Ind
JAX,JAX,Jacksonville,Jax
KAN,KAN,Kansas City,KC
LAC,SDG,Los Angeles Chargers,LAC
LAR,RAM,Los Angeles Rams,LAR
MIA,MIA,Miami,Mia
MIN,MIN,Minnesota,Min
NOR,NOR,New Orleans,NO
NWE,NWE,New England,NE
NYG,NYG,New York Giants,NYG
NYJ,NYJ,New York Jets,NYJ
OAK,RAI,Las Vegas,LV
PHI,PHI,Philadelphia,Phi
PIT,PIT,Pittsburgh,Pit
SEA,SEA,Seattle,Sea
SFO,SFO,San Francisco,SF
TAM,TAM,Tampa Bay,TB
TEN,OTI,Tennessee,Ten
WAS,WAS,Washington,Was
